# Range Matrix: 30 beams x 19 scans
11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,2.886,3.077,2.835,4.017,3.935,3.726
11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,2.580,2.745,2.816,3.959,3.912,3.707
11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,2.804,2.597,2.810,3.935,4.123,3.693
10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,2.770,2.467,2.803,3.917,4.094,3.684
10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,2.740,2.350,2.800,3.903,4.110,3.679
10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,2.713,2.224,2.769,4.079,4.131,3.686
10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,2.112,2.718,4.871,4.136,3.705
10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,2.054,2.691,6.082,4.039,3.737
10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,8.237,10.263,10.263,10.263,10.263,2.024,2.675,6.215,3.976,6.263
10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,8.233,10.187,10.187,10.187,10.187,2.017,3.579,6.227,3.931,6.204
10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,2.012,3.437,6.161,3.921,6.154
10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,2.010,3.310,6.142,4.429,6.128
10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,2.010,10.038,6.254,5.912,6.147
10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,2.012,10.014,6.298,5.765,5.933
10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,2.017,10.002,6.351,5.620,6.306
10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,7.328,7.328,8.624,2.025,10.002,8.529,5.476,6.275
10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,8.672,8.093,6.887,6.887,6.990,2.034,6.990,6.546,5.435,6.156
10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,9.018,7.975,5.944,5.944,5.787,2.043,5.944,5.944,5.467,6.098
10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,8.005,5.965,5.965,5.965,5.763,5.746,5.753,5.508,6.065
10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,8.841,8.044,5.995,5.995,5.995,5.766,5.769,5.792,5.554,6.057
10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,9.167,8.094,6.032,5.605,6.032,5.802,5.800,5.800,8.688,6.091
10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,9.427,8.154,6.077,5.647,5.976,5.871,5.843,5.843,6.985,8.359
10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,9.363,8.225,6.130,5.697,5.939,5.922,5.894,5.899,6.505,8.913
10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,9.188,6.192,5.754,5.910,5.982,5.953,5.953,6.383,8.413
10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,8.880,9.020,5.820,5.973,6.019,6.024,6.021,6.262,8.509
10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,9.051,10.711,5.894,6.049,6.096,6.098,6.098,6.342,8.618
10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,9.408,9.532,5.978,6.132,6.215,6.215,6.189,6.330,8.889
11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,8.917,6.071,6.112,6.312,6.263,6.285,6.300,9.028
11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,9.070,6.645,6.645,6.420,6.420,6.391,6.359,11.223
11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,9.240,6.770,6.770,6.678,6.636,6.770,6.770,11.434
