# Range Matrix: 30 beams x 18 scans
11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,2.864,2.890,2.837,3.622,4.289,4.060
11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,2.846,2.764,2.826,3.604,4.224,3.939
11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,2.832,2.593,2.739,3.834,4.187,3.864
10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,2.821,2.428,2.792,3.821,4.163,3.855
10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,2.820,2.324,2.744,3.998,4.428,3.671
10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,2.823,2.211,2.715,3.994,4.201,3.851
10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,2.107,2.694,4.734,4.059,3.859
10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,2.036,2.675,5.897,3.991,3.872
10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,10.263,2.024,2.664,6.007,3.956,3.891
10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,10.187,2.016,2.660,6.003,3.940,4.635
10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,2.011,3.379,6.020,3.929,5.712
10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,2.007,3.279,6.045,3.915,5.739
10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,2.007,10.038,6.078,5.890,5.790
10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,2.008,10.014,6.291,5.748,6.261
10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,2.012,10.002,6.358,5.615,6.379
10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,10.002,8.781,7.314,7.314,8.848,2.019,8.529,5.752,5.488,6.254
10.014,10.014,10.014,10.014,10.014,10.014,10.014,10.014,8.471,8.792,6.565,6.565,6.565,2.024,6.565,5.717,5.465,6.155
10.038,10.038,10.038,10.038,10.038,10.038,10.038,10.038,8.482,7.572,5.944,5.944,5.834,2.033,5.944,5.944,5.464,6.122
10.075,10.075,10.075,10.075,10.075,10.075,10.075,10.075,8.513,5.861,5.965,5.965,5.753,5.710,5.763,5.736,5.499,6.111
10.125,10.125,10.125,10.125,10.125,10.125,10.125,9.486,8.555,5.890,5.995,5.995,5.792,5.750,5.768,5.737,5.555,6.129
10.187,10.187,10.187,10.187,10.187,10.187,10.187,9.545,8.608,8.688,5.605,5.605,5.828,5.786,5.804,5.828,8.196,7.794
10.263,10.263,10.263,10.263,10.263,10.263,10.263,9.616,8.672,8.753,5.647,5.647,5.871,5.829,5.847,5.871,8.257,7.852
10.353,10.353,10.353,10.353,10.353,10.353,10.353,10.353,8.748,8.829,5.697,5.697,5.922,5.880,5.899,5.899,8.329,6.957
10.457,10.457,10.457,10.457,10.457,10.457,10.457,10.457,8.836,8.918,5.754,5.754,5.982,5.939,5.958,5.958,8.413,6.683
10.576,10.576,10.576,10.576,10.576,10.576,10.576,10.576,8.937,9.285,5.820,5.820,6.050,6.007,6.025,6.025,8.509,6.759
10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,10.711,9.404,5.894,5.894,6.127,6.084,6.103,6.127,8.764,6.846
10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,5.978,5.978,6.215,6.170,6.189,6.215,8.889,8.214
11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,11.034,6.071,6.071,6.312,6.267,6.286,6.252,9.028,11.034
11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,11.223,6.645,6.645,6.408,6.361,6.400,6.408,9.183,11.223
11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,11.434,9.355,11.434
